371,MARIA SONIA,6582,40.8
372,INES MARIA,6566,40.4
373,INGRID,6528,26.7
374,IDOIA,6508,33.4
375,MARIA OLGA,6500,52.5
376,MARIA VICENTA,6498,54.0
377,OBDULIA,6471,67.4
378,MARIA NATIVIDAD,6412,57.8
379,MARIA CINTA,6390,55.3
380,MARIONA,6367,14.6
381,MARIA ANGELA,6278,55.6
382,JESICA,6264,25.5
383,SAMIRA,6262,26.7
384,ABRIL,6259,5.7
385,DESAMPARADOS,6197,61.8
386,LUNA,6176,10.2
387,DIONISIA,6140,70.0
388,JACINTA,6107,67.7
389,ROSANA,6093,32.1
390,CORAL,6091,21.7
391,IZASKUN,6040,34.6
392,BRIGIDA,6021,63.3
393,GRACIA,5986,58.0
394,MODESTA,5970,69.1
395,ALEXIA,5963,10.7
396,MIREYA,5961,19.4
397,CARMEN ROSA,5957,49.0
398,REYES,5952,44.8
399,MARIAM,5928,14.6
400,IRATXE,5922,25.7
401,RUFINA,5905,70.0
402,MALIKA,5882,42.8
403,MAIDER,5868,21.0
404,MARIA BEATRIZ,5861,42.0
405,MARIA FATIMA,5835,43.5
406,EVANGELINA,5797,61.8
407,YANIRA,5782,11.7
408,MARIA ARACELI,5778,49.0
409,MARIA JUANA,5774,62.0
410,MARIA ANGUSTIAS,5723,52.8
411,AYA,5721,5.0
412,BIENVENIDA,5686,64.0
413,ANGUSTIAS,5683,65.6
414,CLOTILDE,5658,67.3
415,OTILIA,5645,66.6
416,GEORGINA,5635,32.3
417,SOCORRO,5626,67.3
418,URSULA,5608,46.6
419,NAGORE,5580,21.0
420,DEBORA,5578,25.4
421,EMILIANA,5558,70.0
422,MARIA PIEDAD,5541,54.7
423,BALBINA,5531,68.6
424,FATIHA,5512,36.8
425,GERTRUDIS,5450,63.9
426,DOMINGA,5422,66.5
427,TERESA JESUS,5420,50.8
428,ANASTASIA,5409,52.2
429,AMINA,5303,28.9
430,SONIA MARIA,5272,36.4
431,JOSEFA MARIA,5266,52.3
432,DAVINIA,5221,24.4
433,AZAHARA,5195,17.8
434,MARIA ALEJANDRA,5192,32.0
435,RACHIDA,5118,38.0
436,MAIALEN,5082,14.3
437,OLGA MARIA,5080,40.4
438,MARIA NURIA,5037,48.0
439,FELICIANA,5021,68.9
440,EUSEBIA,4958,71.3
441,MARCELA,4946,49.3
442,MARIA AZUCENA,4932,49.0
443,IGNACIA,4928,69.6
444,KARIMA,4913,30.5
445,ENCARNA,4873,58.0
446,VICTORINA,4844,72.8
447,FELICITAS,4832,70.7
448,SARAI,4830,20.8
449,MARIA CONSOLACION,4783,57.5
450,ENGRACIA,4772,69.6
451,CRISTINA MARIA,4748,30.6
452,ILUMINADA,4745,64.7
453,MYRIAM,4741,29.8
454,MARIA RAQUEL,4721,45.5
455,MARA,4693,11.2
456,INOCENCIA,4692,68.9
457,FRANCESCA,4682,51.7
458,PRESENTACION,4680,68.1
459,MARIBEL,4659,42.0
460,MARIA ELVIRA,4648,51.1
461,NICOLASA,4613,69.0
462,VERA,4601,17.3
463,GLORIA MARIA,4588,40.5
464,NAHIA,4581,6.9
465,ANTIA,4566,12.0
466,NAROA,4563,10.1
467,MARIA LAURA,4556,40.4
468,FAUSTINA,4548,69.4
469,ERICA,4541,22.6
470,COVADONGA,4531,38.9
471,GUILLERMINA,4528,60.3
472,SAIDA,4501,33.8
473,MARIA PRADO,4499,48.4
474,UXUE,4499,9.3
475,MARIA EVA,4497,46.3
476,LAILA,4494,23.9
477,MARIA SALUD,4483,51.8
478,MELANIA,4465,25.3
479,OLIVA,4458,66.3
480,SALUD,4453,60.9
481,SATURNINA,4432,72.0
482,MARIA ALICIA,4412,51.8
483,JUNE,4404,13.2
484,MIREN,4393,33.3
485,NAIA,4390,6.9
486,FERMINA,4388,68.7
487,CELESTINA,4368,68.8
488,SILVIA MARIA,4357,34.3
489,ANAIS,4339,15.0
490,MARIA MERCE,4336,50.6
491,MINERVA,4312,23.0
492,SANDRA MARIA,4309,32.0
493,OLATZ,4259,25.1
