254,CLAUDIO,9916,52.1
255,EMILIO JOSE,9894,33.2
256,JESUS ANGEL,9882,43.3
257,LUCIANO,9707,58.6
258,ALI,9564,33.0
259,LUIS ANGEL,9522,43.4
260,JULEN,9482,15.3
261,MUSTAPHA,9434,38.3
262,SIMON,9394,43.0
263,FLORENTINO,9373,63.2
264,MODESTO,9327,61.0
265,EDGAR,9305,20.2
266,ERIK,9241,10.9
267,JAIRO,9227,19.2
268,MANUEL ANTONIO,9222,45.8
269,JOAQUIM,9080,48.4
270,OLIVER,8990,19.1
271,ENEKO,8927,16.5
272,ILDEFONSO,8908,55.8
273,IGOR,8833,31.1
274,PEDRO MANUEL,8805,41.1
275,PAULINO,8797,61.1
276,ALEXANDRE,8782,25.9
277,FRANCISCO MIGUEL,8750,38.5
278,JUAN DIOS,8639,46.7
279,AVELINO,8629,62.2
280,JOSE FERNANDO,8587,44.9
281,CELESTINO,8567,61.4
282,EZEQUIEL,8533,34.6
283,JAN,8520,13.5
284,SATURNINO,8517,64.6
285,CONSTANTINO,8510,58.5
286,ELADIO,8456,60.2
287,JACOBO,8451,26.1
288,JUAN VICENTE,8250,45.8
289,LEANDRO,8192,48.6
290,ALEXIS,8160,23.1
291,RUFINO,8142,63.1
292,CARLOS MANUEL,8124,38.8
293,MANUEL JOSE,8111,45.1
294,CONSTANTIN,8088,41.4
295,HASSAN,8080,38.5
296,ANDREU,8065,28.4
297,ANTONIO LUIS,7825,43.0
298,ROBERT,7825,36.6
299,JUAN DIEGO,7805,30.5
300,ANTONIO MIGUEL,7788,40.6
301,JOSE DANIEL,7777,32.7
302,ANTONIO JAVIER,7770,35.7
303,JUAN ANDRES,7744,41.4
304,PEDRO MARIA,7698,53.8
305,LUIS JAVIER,7615,41.3
306,JORGE LUIS,7572,38.4
307,LUIS CARLOS,7416,42.1
308,CAYETANO,7409,47.5
309,PEDRO JESUS,7359,37.7
310,GASPAR,7341,54.7
311,CLEMENTE,7291,58.5
312,MARIAN,7194,36.7
313,FELICIANO,7190,62.7
314,BASILIO,7161,58.6
315,JUAN ANGEL,7125,44.4
316,HILARIO,7046,61.2
317,JOSUE,7033,23.1
318,MUHAMMAD,7025,33.4
319,NESTOR,7018,27.5
320,RAIMUNDO,7015,58.0
321,FABIAN,6969,34.4
322,ANGEL MANUEL,6967,39.9
323,NICOLAE,6879,40.5
324,FRANCESC XAVIER,6760,42.8
325,MANEL,6757,32.3
326,EVARISTO,6738,59.9
327,KHALID,6723,32.4
328,IMANOL,6645,26.1
329,MARCELO,6572,47.3
330,FLORIN,6542,33.5
331,RICARD,6521,34.2
332,MARCIAL,6467,57.7
333,BENIGNO,6397,62.9
334,LAUREANO,6395,59.6
335,ELISEO,6351,58.7
336,ABDELKADER,6320,42.4
337,NARCISO,6285,59.5
338,SEGUNDO,6249,64.2
339,ABDELLAH,6238,37.4
340,ANDONI,6210,26.7
341,YAGO,6207,11.6
342,CECILIO,6181,59.5
343,JUAN ALBERTO,6147,37.5
344,BERNARDINO,6137,60.1
345,JESUS ANTONIO,6085,46.0
346,ANGEL MARIA,6056,49.8
347,PATRICIO,6039,51.0
348,BIEL,6029,5.3
349,ARITZ,5984,18.3
350,JOSU,5979,28.1
351,NIL,5966,8.4
352,IAGO,5939,14.3
353,FERNANDO JOSE,5905,38.8
354,VALERIANO,5896,61.5
355,IAN,5881,13.1
356,JOSEBA,5874,30.3
357,LEOPOLDO,5846,55.9
358,IBAI,5828,12.6
359,DEMETRIO,5827,61.7
360,LUIS ENRIQUE,5793,38.5
361,ROBERTO CARLOS,5791,31.3
362,MICHAEL,5786,36.4
363,MAURO,5751,23.4
364,CESAREO,5663,61.3
365,HICHAM,5663,28.6
366,MARCEL,5646,29.8
367,PEDRO PABLO,5616,42.2
368,CAMILO,5576,53.3
369,ANASTASIO,5495,65.0
370,MAURICIO,5493,44.8
371,ANTONIO FRANCISCO,5452,42.0
372,FRANCISCO LUIS,5437,44.3
373,BRAHIM,5431,34.3
374,CIPRIANO,5409,63.0
375,BERNAT,5357,20.4
376,ABDELAZIZ,5356,38.8
377,LUCIO,5339,62.5
378,BRAIS,5241,12.1
379,MIHAI,5201,37.8
380,LEO,5184,4.0
381,RODOLFO,5175,52.5
382,BIENVENIDO,5166,58.7
383,BRIAN,5153,24.0
384,OCTAVIO,5128,50.4
385,OIER,5117,10.7
386,ANSELMO,5112,59.7
387,PEDRO JAVIER,5068,35.6
388,BALTASAR,5041,57.1
389,STEFAN,5036,38.6
390,AIMAR,5034,7.4
391,PEDRO MIGUEL,5022,41.3
392,ALEXANDRU,5016,33.0
393,TEOFILO,5013,65.2
394,BERNABE,5008,53.2
395,BILAL,4989,13.3
396,EULOGIO,4988,61.9
397,CASIMIRO,4976,63.6
398,AMADEO,4971,58.6
399,PLACIDO,4910,59.7
400,LAZARO,4903,53.7
401,FABIO,4860,23.6
402,ALAN,4855,23.9
403,HAMZA,4842,14.0
404,MARKEL,4794,8.9
405,JOSE FELIX,4770,46.7
406,CARLOS JOSE,4753,39.1
407,MARIUS,4753,32.1
408,ANTON,4750,25.4
409,JOSE PEDRO,4749,44.8
410,DIDAC,4746,15.5
411,FULGENCIO,4746,58.3
412,ROQUE,4744,50.6
413,CELSO,4725,58.3
414,PAUL,4718,34.3
415,HAMID,4687,36.7
416,AYOUB,4647,10.4
417,BALDOMERO,4634,58.9
418,JOSE GABRIEL,4629,39.5
419,ABDERRAHIM,4608,34.5
420,FRANCISCO BORJA,4599,32.1
421,HERMINIO,4597,61.4
422,MAXIMINO,4590,62.0
423,MANUEL ALEJANDRO,4579,27.5
424,JESUS MIGUEL,4566,40.6
425,MANUEL FRANCISCO,4521,45.6
426,LUIS FRANCISCO,4505,41.4
427,JOSE RAFAEL,4461,45.0
428,DUMITRU,4448,42.9
429,ADAN,4367,19.7
430,ABDESLAM,4353,45.4
431,FRANCISCO ASIS,4351,41.5
432,KARIM,4344,26.0
433,AQUILINO,4332,60.6
434,BONIFACIO,4332,64.2
435,JUAN DAVID,4329,21.9
436,JOSE DOMINGO,4306,45.8
437,IGNASI,4303,31.4
438,GUMERSINDO,4300,62.9
439,JUAN ENRIQUE,4284,42.9
440,VICTORINO,4239,65.6
441,IONEL,4213,39.1
442,JESUS JAVIER,4174,40.7
443,MARINO,4173,58.0
444,DRISS,4166,40.3
445,VIDAL,4135,57.1
446,HIPOLITO,4127,62.2
447,NOEL,4117,21.1
448,NORBERTO,4117,50.2
449,ALAIN,4110,21.9
450,JORGE JUAN,4109,40.3
451,ELEUTERIO,4093,64.5
452,ALBERTO JOSE,4083,36.6
453,PELAYO,4076,20.5
454,ORLANDO,4072,44.7
455,MELCHOR,4036,57.0
456,PABLO JOSE,4014,32.0
457,LUIS ALFONSO,4003,41.4
458,RAYAN,3993,3.1
459,ARSENIO,3987,62.1
460,VICENTE JOSE,3973,44.1
461,ROSENDO,3964,58.6
462,JAMAL,3961,33.2
463,VICTOR JOSE,3948,34.8
464,VIRGILIO,3908,60.3
465,HIGINIO,3886,61.5
466,MAMADOU,3883,34.1
467,IBRAHIM,3880,18.8
468,ANIBAL,3875,41.9
469,JUAN GABRIEL,3859,33.0
470,JOSE PABLO,3857,38.2
471,JUAN FERNANDO,3855,42.3
472,CARLOS ENRIQUE,3837,42.1
473,JOSE ALEJANDRO,3818,32.3
474,DENIS,3816,17.7
475,ANTONIO MARIA,3792,49.7
476,URBANO,3782,63.2
477,PETER,3777,54.2
478,SEVERINO,3763,64.0
479,JOSE TOMAS,3725,44.9
480,LUCA,3721,15.9
481,AZIZ,3708,33.6
482,MARCOS ANTONIO,3698,36.6
483,ELOI,3693,16.5
484,VICENT,3685,27.9
485,AUGUSTO,3682,53.7
486,JOHN,3676,53.6
487,YASSINE,3676,18.4
488,JOSE JESUS,3660,46.4
489,CEFERINO,3644,62.3
490,CARLOS ANTONIO,3633,40.0
491,IBON,3625,26.2
492,VIOREL,3604,41.1
493,VENANCIO,3592,62.8
494,GUSTAVO ADOLFO,3586,38.0
495,MAXIMILIANO,3548,50.5
496,JOSE ALFONSO,3545,45.7
497,INOCENCIO,3538,64.2
498,JOSE EMILIO,3531,47.2
499,ABELARDO,3525,57.1
500,BEÑAT,3524,14.2
501,ANAS,3505,8.2
502,SAMIR,3501,26.6
503,IBAN,3500,30.1
504,BAUTISTA,3449,65.6
505,EDUARDO JOSE,3443,37.0
506,GAIZKA,3436,22.1
507,PRIMITIVO,3431,65.6
508,MIGUEL ANTONIO,3429,43.7
509,LUIS EDUARDO,3417,35.5
510,PEDRO ANGEL,3415,42.7
511,JOSE EDUARDO,3400,43.1
512,ISAIAS,3399,45.5
513,FRANCISCO RAMON,3343,44.1
514,ANTONIO DAVID,3333,23.8
515,RICHARD,3327,35.8
516,JORGE MANUEL,3319,37.5
517,PEDRO JUAN,3316,47.6
518,MOUSSA,3287,32.6
519,ANGEL JOSE,3282,44.6
520,JOSE BENITO,3280,54.5
521,ALEJANDRO JOSE,3266,26.5
522,ENRIQUE JOSE,3266,40.9
523,JOSE JULIAN,3247,45.2
524,GENARO,3222,59.5
525,AGAPITO,3221,66.1
526,NABIL,3217,21.3
527,MANUEL MARIA,3216,49.3
528,BRAULIO,3191,55.7
529,NOUREDDINE,3180,35.3
530,NEMESIO,3171,64.0
531,PRUDENCIO,3168,62.3
532,MIMOUN,3164,42.3
533,JESUS ALBERTO,3163,36.9
534,JOSE RAUL,3157,37.5
535,NOE,3150,22.8
536,CONRADO,3143,56.2
537,LEONCIO,3143,64.6
538,ANDREI,3120,25.1
539,ALEJO,3118,42.2
540,VICTOR HUGO,3117,35.3
541,JOSE AGUSTIN,3106,47.7
542,ADIL,3103,26.3
543,SECUNDINO,3093,64.7
544,LUIS FELIPE,3087,39.8
545,MOHAMMAD,3087,39.9
546,JOSE RICARDO,3085,44.7
547,ISMAIL,3079,19.6
548,JUAN RAFAEL,3069,43.2
549,DELFIN,3064,60.8
550,IONUT,3059,26.9
551,ARKAITZ,3019,24.5
552,FAUSTO,2996,58.0
553,JORGE ANTONIO,2989,38.0
554,CARLOS ANDRES,2986,28.5
555,FERNANDO JAVIER,2962,39.7
556,DIEGO JOSE,2959,31.4
557,JON ANDER,2945,23.7
558,GEORGE,2943,39.2
559,ANGEL ANTONIO,2937,44.4
560,ZAKARIA,2928,13.1
561,JUAN CRUZ,2925,51.3
562,MAX,2923,10.6
563,OVIDIO,2920,62.0
564,AGUSTI,2916,52.0
565,AMBROSIO,2909,63.8
566,INDALECIO,2901,58.3
567,AXEL,2896,14.7
568,CARLOS JESUS,2886,36.1
569,ENDIKA,2882,19.7
570,GABINO,2864,60.4
571,LUIS JOSE,2862,43.0
572,ANICETO,2860,63.9
573,HUMBERTO,2857,45.0
574,LANDER,2834,17.6
575,YASSIN,2834,12.1
576,JOSE JULIO,2811,46.3
577,LLUC,2782,9.0
578,ALESSANDRO,2768,25.9
579,MOSTAFA,2737,39.5
580,SABINO,2722,62.7
581,ESTEVE,2721,44.6
582,CESAR AUGUSTO,2716,38.8
583,HELIODORO,2703,64.4
584,SILVESTRE,2690,57.0
585,AYMAN,2685,6.2
586,CARLOS MIGUEL,2682,38.2
587,JULIO ALBERTO,2676,31.9
588,NICANOR,2674,58.8
589,DESIDERIO,2669,62.2
590,GAEL,2659,5.0
591,ANTONIO ANGEL,2653,41.3
592,THOMAS,2649,40.6
593,YOUNES,2637,21.2
594,PABLO ANTONIO,2631,35.7
595,LINO,2619,56.6
596,VLADIMIR,2601,38.4
597,SIXTO,2600,58.6
598,SEVERIANO,2596,62.1
599,URKO,2596,18.6
600,PEDRO FRANCISCO,2593,43.7
601,JACOB,2586,27.8
602,ANTONIO RAMON,2583,45.8
603,GIOVANNI,2583,31.7
604,ABDELLATIF,2568,36.5
605,HERMENEGILDO,2561,62.5
606,HONORIO,2558,64.7
607,HORACIO,2558,57.2
608,LUIS MARIANO,2547,45.0
609,PETRU,2545,42.1
610,RUBEN DARIO,2544,34.6
611,BRYAN,2539,12.4
612,JUAN ALFONSO,2535,44.3
613,ESTANISLAO,2528,56.8
614,UNAX,2527,5.4
615,LLORENÇ,2526,36.5
616,GENIS,2525,19.8
617,JUAN SEBASTIAN,2524,28.1
618,ANXO,2514,11.3
619,FLORIAN,2504,48.2
620,EFREN,2503,31.9
621,ADRIANO,2486,41.2
622,ABDERRAHMAN,2481,36.5
